claim_id,manuscript_location,claim_summary,reported_values,artifact_path,artifact_locator,artifact_sha256,expected_artifact_tokens,analysis_script,script_sha256,denominator,statistical_unit,claim_boundary
C11,Sec. 6.2,PACT's aggregate ordering persists over the frozen 256-setting opinion-interface design.,PACT 0.0660-0.0691; nested 0.1067-0.2231; pooling 0.1796-0.2864,results/opinion_interface_sensitivity/gate.json,"summary pact_naurc, nested_naurc, and pooling_naurc",c6bbc6de20ab39500f999ef026f9b81377fed57a9f0987fc650cfd076dd68fb3,0.06604064046897426|0.06906470515604193|0.10672326297421979|0.22314839412948947|0.1796022467609185|0.28635316136544253,results/opinion_interface_sensitivity/run.py,9e7154ba160d8cb40bed259bacd51c488e50e85f01dc3f7abc16cee3debd9a5c,"256 settings x 31,200 records",deterministic design setting; scene-grouped evaluation inside each setting,"Fixed opinion-construction design region, not sampled-population or raw-sensor robustness."
C12,Sec. 6.2,Paired occlusion-response sweeps withhold more often as partial-view evidence weakens while unoccluded outputs remain fixed.,64/64 monotone sweeps; maximum all-case wrong-admission 0.0146,results/evidence_response_sensitivity/report.json,evidence_response_summary,eb8bc4bb58a7e907909ce54180692008c47de16115c892634cb8d76c6d350b38,"""monotone_pair_rate"": 1.0|""overall_wrong_all_max"": 0.014583333333333334|""response_settings"": 192",results/evidence_response_sensitivity/run.py,bd46bd2cd8157c913106b029da757cef7ae062bd0c0b1b5d1178eecce950f2e4,64 matched sweeps x three occlusion levels,matched parameter setting,"Controlled evidence-response check, not native perception validation."
C13,Sec. 6.1; Table 7B,The separately trained Set Transformer has substantially worse selective ordering under joint scene-configuration holdout.,"joint-holdout ncsAURC 0.5579; 95% CI [0.5362,0.5799]",results/learned_set_fusion_comparison/gate.json,joint_scene_configuration_holdout; Set Transformer,527015a08b295c85678fe92035892d5cb20aa6f8b2840ddac9c614e899d86783,0.5578592231263529|0.5361750788109675|0.5798797589706602,results/learned_set_fusion_comparison/scripts/run_v1902_learned_set_comparison_synthesis.py,4f8d87ecadf57dac2b04c455b66f8f82076f06be6217ad3af92b6b738af33787,"31,200 controlled records under joint holdout",scene,"Controlled configuration shift, not open-world generalization."
C14,Sec. 6.3,The complete three-source decision path has sub-millisecond decision-layer latency.,"median 131.3 us; p95 180.1 us; 5,000 repetitions",outputs/scalability/canonical_path.csv,row method=typed_record_end_to_end,0a61e9f05d18ea0b4897d2ae79bb9f55530745b4ee5647ea7118ddbab3a16a23,"typed_record_end_to_end,131.3,180.1|5000",experiments/scalability_benchmark.py,67bb8e2a6602f6fe6fe5edc2512cc1b378fdbfe1442afeb768c341b047cd76ec,"5,000 timed repetitions after warm-up",decision-layer invocation,"Excludes perception, foundation-model inference, communication, and robot control."
C15,Sec. 6.3,Connected-component construction scales from three to 64 sources in the measured implementation.,median 2.0 us at 3 sources; 479.1 us at 64 sources,outputs/scalability/source_count_scaling.csv,method=registered_graph_components at source_count 3 and 64,f393292f9aa12d16421dabab9d5da1a7195c43706ebd63e04da2d2c1a1a9bf1f,"3,registered_graph_components,2.0|64,registered_graph_components,479.1",experiments/scalability_benchmark.py,67bb8e2a6602f6fe6fe5edc2512cc1b378fdbfe1442afeb768c341b047cd76ec,"5 source counts x 5,000 repetitions",graph-construction invocation,Single-machine Python implementation benchmark.
C16,Sec. 7.1; Table 8,False separation worsens selective ordering on frozen HandWritten/Mfeat TMC and RCML outputs.,"delta ncsAURC +0.00491 and +0.00244; 2,000 paired bootstraps",results/public_outcome_closure/PAIRED_CONTRASTS.csv,"contrast=provenance_error, metric=ncsAURC, aggregation=donor_macro",4b5175c05002cde9e11d68013c229e7865a9f80b4fe730b4c1e814e5f3a23c96,HandWritten-Mfeat__TMC|0.00491424425156518|0.0004182972209714181|0.010786921006634424|HandWritten-Mfeat__RCML|0.0024423407529732544|0.0008478497046984702|0.004408474878689494,analysis/public_outcome_closure.py,99d6f9b00f217ee448b246e1007149a9616d6fd1918fcc4d5bff6d2b6cef52fd,200 records x five frozen realizations x six donor views per pair,class-stratified record identifier,Conditional on two frozen dataset-model pairs; no universal calibration claim.
C17,Abstract; Sec. 7.1.1; Fig. 5,"All 203 partitions and 856 one-merge coarsenings satisfy budget nonincrease, while grouping composition changes selective ordering and effect magnitude.",zero-floor partitions TMC 35/37 and RCML 39/114 (native/posterior); native edge improve/worsen/tie 17.1/73.2/9.7% and 18.7/73.6/7.7%; median absolute native deltas 0.00119/0.05881 and 0.00027/0.00121,results/partition_coarsening_surface/DISCLOSURE_SUMMARY.json,partition_zero_floor_counts; cover_edge_directions; native_non_tied_median_absolute_ncsAURC_delta; protocol,8b0f3f93a80fbaba4d2e17aa256f27db9bec963f4fd039ee434f466e693640f7,"""partitions"": 203|""cover_edges"": 856|""bootstrap_draws"": 2000|""records_per_realization"": 200|""records_per_realization"": 400|""native_nonvacuity"": 35|""posterior_confidence"": 37|""native_nonvacuity"": 39|""posterior_confidence"": 114|""fraction"": 0.1705607476635514|""fraction"": 0.18691588785046728|0.0011908846708200784|0.05881007964221806|0.0002739235486055729|0.0012130399609492333",analysis/build_partition_disclosure_summary.py,f44a8eaeca1bb2ff16b089cdbb216779ca1aad9f8c842955c7b31a0c6b2a57cc,203 partitions; 856 cover edges; five frozen realizations; 200 TMC or 400 RCML record identifiers,class-stratified record identifier,Maps declared coarsening only; does not select/authenticate a partition or test false splitting.
C18,Sec. 7.2.1; Fig. 6; Table 9,Per-camera prompt multiplicity has checkpoint- and score-dependent selective effects.,m=4 native contrast 0.0224 (32B) and 0.1202 (8B); posterior contrast 0.0180 and -0.0156,results/native_view_fm_provenance_transfer/gates/FINAL_RESULT_AUDIT.json,models.primary_32b and models.replication_8b,b5491155da212d53abfcc375fb1fb68b5ce16938328c24285bf5c27387ae81d6,0.022435621698132513|0.12022891909135464|0.01798611267734873|-0.01563815894421408,results/native_view_fm_provenance_transfer/analysis/analyze.py,fe1c818d9cdaf49066f230ec664aa9a6f5cad31e7f458a50e7c4db06e4fd5bbe,"1,128 events; 696 episodes; six tasks; five cameras",episode within task,Frozen checkpoint diagnostic; no learned-grounding or checkpoint-universal dominance claim.
C19,Sec. 7.2.2; Fig. 7,The eight-checkpoint panel reproduces copy invariance but does not confirm the declared family grouping.,family partition rank 7/105; tail 9/105=0.086; false-split budget ratio 2.306,results/balanced_fm_panel/analysis/FM_PANEL_SUMMARY.json,family_partition_test; topology,fc9bf3fffb7d68d71ddc34da732b8ffb5ba69aa351c4cd033579fed6ac691949,"""registered_rank_descending"": 7|""one_sided_exact_p"": 0.08571428571428572|""partitions"": 105|""mean_budget_ratio_to_registered"": 2.3057474150873274",results/balanced_fm_panel/protocol/analyze_fm_panel.py,259bdf361bc77861d489aef6a1ef2b36412c97c86b48e4e1ba3e601bb73dc2f5,"2,256 rows; 1,128 events; eight checkpoints; four declared families",episode within task,"Declared family grouping is an accounting policy, not an empirical independence certificate."
C20,Abstract; Sec. 7.3; Table 10A,Target identity and event proximity remove complementary fixed-image admission errors.,"wrong admissions 91 to 1; retains 51 of 53; delta -12.50 pp [ -13.75,-11.25 ]",results/habit_fixed_image_admission/target_object_admission/habit_task_object_admission_summary.json,factorial_evidence_role_ablation; task_balanced_episode_bootstrap,0aa6b31e9566a0ced42b6b4f40c6277a8ea67e3835099fee3deb721b8f130e6c,"""off_target_wrong_authorizations"": 66|""premature_factual_authorizations"": 25|""off_target_wrong_authorizations"": 0|""premature_factual_authorizations"": 1|""verified_minus_candidate"": -0.125|""ci95_low"": -0.13749999999999998|""ci95_high"": -0.1125",results/habit_fixed_image_admission/scripts/run_target_object_admission.py,ed5d112000c500e8d7a110fdb6949ed0d77ce8c3a136c25724b9beb908bebb0e,720 cases; 60 episodes; six tasks,episode within task,Fixed-image admission evidence; not physical execution or a PACT participant study.
C21,Sec. 7.3,The leave-one-task-out event-proximity model retains nontrivial task-macro and worst-task discrimination.,task-macro AUROC 0.8632; worst-task AUROC 0.7420,results/habit_fixed_image_admission/task_heldout_temporal_model/HABIT_TASK_HELDOUT_ADMISSION.json,phase_metrics,48e87a2c1824a72cacbb6cb40e4a7f3227ca9a1d9b4b41dfa77fb4f8fea983ab,"""task_macro_auroc"": 0.8631623892426464|""worst_task_auroc"": 0.7419651056014692",results/habit_fixed_image_admission/scripts/run_task_heldout_delta_admission.py,ee077e6a1822d6f5df0d624b1a32f999c262e14ea4c9525da234f113fab36df1,six leave-one-task-out folds,episode within task,Event-proximity evidence source; not unseen-task robot-policy success.
C22,Sec. 7.3,The paired-change rule admits 53 of 720 cases with no observed wrong admission.,53/720 admitted; task-macro recall 0.8833; worst-task recall 0.5000,results/habit_fixed_image_admission/task_heldout_delta_admission/HABIT_TASK_HELDOUT_DELTA_ADMISSION.json,task_heldout_delta_admission; task_heldout_task_macro,ccb8e57293d1c2a598303a76a5dffae90e83b19ccf6aa06661554dbf7f2a9bb6,"""admitted"": 53|""wrong_authorization_all"": 0.0|""ready_factual_recall"": 0.8833333333333333|""worst_task_ready_factual_recall"": 0.5",results/habit_fixed_image_admission/scripts/run_task_heldout_delta_admission.py,ee077e6a1822d6f5df0d624b1a32f999c262e14ea4c9525da234f113fab36df1,720 cases; 60 paired episodes; six tasks,episode within task,"Sequential pre-release evidence, not single-image phase recognition."
C23,Sec. 7.3,Event-proximal scores exceed paired early scores in 59 of 60 reference-matching episodes.,59 positive; 1 negative; exact one-sided p=5.29e-17,results/habit_fixed_image_admission/task_heldout_temporal_model/within_episode_temporal_sign_test.json,top-level sign-test fields,8d8427d5c80bebde4563ad3489ca026ba3f544a07e6eafd25c1554bfea6296da,"""positive_differences"": 59|""negative_differences"": 1|""one_sided_exact_p"": 5.2909066017292616e-17",results/habit_fixed_image_admission/scripts/within_episode_temporal_sign_test.py,6936221055be55606c30e2dc98664c7b5d9faaf7566d680099018447ef3fc505,60 paired endpoint episodes,episode,Paired ordering diagnostic for the event-proximity score.
C24,Sec. 5.2.3,Broader two-component role admission increases wrong-admission exposure relative to the three-component policy.,PACT Policy C ncsAURC 0.3891; wrong/all 0.0769,results/score_verifier_factorial/verifier_policy_summary.csv,"method=pcecf, score=C_required_role_two_component",909b3e8b4393a1172d409822280019bd3d9c6bedcd5536ec8e500e613d9a51ae,"pcecf,C_required_role_two_component,all,True,0.3891164502870042|0.07692307692307693",analysis/score_verifier_factorial.py,93c3664eb9b8ddc8fa4fab8275164a99e93653365bcdd2240d4dffaa7acd6af9,"31,200 records",scene,Policy sensitivity under the controlled response map.
C25,Sec. 5.2.1; Table 5B,PACT remains above the closest topology-aware comparators under one shared correctness score.,registered pooling 0.3711; cautious 0.4659; PACT 0.6489 shared-score cAURC orientation as reported,results/common_score_parity/table_panel_b_rows.csv,two comparator rows plus shared PACT anchor in protocol,d41fef8de60b753f158d40742e9e52a8e63e775d3adb2d60911b341fa7f9bccb,registered_lineage_pooling|0.37106748832286374|hierarchical_cautious_cumulative|0.46589201848292194,analysis/common_score_parity.py,99fa416d631b7759c93ff246bf237037d7f6bec8317fc969ed7015b3df4aa362,"31,200 records with a shared score trained without target comparators",scene,Shared-score parity diagnostic; not a universal comparator ranking.
C26,Abstract; Sec. 7.3; Table 10B,One fixed target-plus-event rule removes all but one wrong admission at each of three frozen checkpoints while retaining most correct candidates.,"candidate recall 53/60, 57/60, and 27/60; joint-rule retention 51, 54, and 24 with one wrong admission each; coverage 7.2%, 7.6%, and 3.5%",results/habit_checkpoint_admission/checkpoint_admission_summary.csv,candidate_only and combined rows for all three models,749bc07877180544e41282ed34a373b3a2817cd1d94952955e974e3c51dfe4ed,"qwen3vl_8b,candidate_only,720,144,53,91,0.2,0.07361111111111111,0.12638888888888888,0.8833333333333333|qwen3vl_8b,combined,720,52,51,1,0.07222222222222222|qwen3vl_32b,candidate_only,720,143,57,86,0.1986111111111111,0.07916666666666666,0.11944444444444445,0.95|qwen3vl_32b,combined,720,55,54,1,0.0763888888888889|internvl3_8b,candidate_only,720,98,27,71,0.1361111111111111,0.0375,0.09861111111111111,0.45|internvl3_8b,combined,720,25,24,1,0.034722222222222224",analysis/habit_checkpoint_admission.py,7f958c68a864907370d4fc513d4dce4954c3673f4f5302766b0dae32a80c8c0e,720 matched cases and 60 factual READY cases per checkpoint; 60 episodes; six tasks,episode within task,Frozen-output checkpoint robustness; not checkpoint independence or physical execution.
C27,Sec. 7.3,The joint rule reduces task-balanced all-case wrong admission at the two replication checkpoints.,"Qwen3-VL-32B -0.1181 [-0.1319,-0.1042]; InternVL3-8B -0.0972 [-0.1167,-0.0778]",results/habit_checkpoint_admission/checkpoint_admission_bootstrap.csv,"combined_minus_candidate, metric=wrong_all",fe9e0a8e2a3caf3bdcd8e7d9f4bf4d82fc672b253054e5dcb459acd0a3b1dc0d,"qwen3vl_32b,combined_minus_candidate,wrong_all,-0.11805555555555557,-0.13194444444444445,-0.10416666666666667|internvl3_8b,combined_minus_candidate,wrong_all,-0.09722222222222222,-0.11666666666666667,-0.07777777777777778",analysis/habit_checkpoint_admission.py,7f958c68a864907370d4fc513d4dce4954c3673f4f5302766b0dae32a80c8c0e,"720 matched cases per checkpoint; 10,000 bootstrap draws",episode within task,Paired fixed-rule robustness contrast conditional on the frozen source outputs.
C28,Sec. 4.9; Sec. 7.1; Appendix B; Table 4,Scene15--TMC satisfies the prespecified mean-accuracy eligibility criterion without establishing exact distributional reproduction.,30 runs; mean accuracy 0.667856; SD 0.022224; published mean 0.6774; absolute deviation 0.009544,results/scene15_tmc_transfer/FINAL_GATE.json,native_gate and run_summary,e1f7dfc5e60873f551e217a896f705c61a6b22d1e2845772b43958320c403ff2,0.6678558156819027|0.022223837855087938|0.6774|0.009544184318097337|30,results/scene15_tmc_transfer/scene15_tmc_native_gate.py,87780afc2b7695b626dd535619ac90ec5328140e0f5e425dd83bd8d45fc75061,30 training--test runs; 897 held-out records per run,training--test run for run-to-run variability,Mean-level dataset--emitter eligibility; not exact reproduction of the published run distribution or a leaderboard claim.
C29,Sec. 7.1; Appendix B,Scene15--TMC preserves exact-copy invariance; false splitting and all-view merging produce opposite budget changes and worsen full-support selective ordering.,"native budget 5.937410; false split 19.738072 (3.324x), delta 13.800662 [12.796497,14.781749]; all-view merge 0.316149 (0.0532x), delta -5.621261 [-5.943896,-5.300786]; accuracies 0.663991/0.617837/0.579041; full-support ncsAURC 0.231258/0.289613/0.286455",results/scene15_tmc_transfer/PHASE2_BOUNDED_SUMMARY.json,selected_rows and bootstrap_selected,e6cd7d93ec5713ecd0f70f2af1b155626ee8ee22c2ceeca2a14a653ec3fa2bd2,5.937410399764179|19.738072130423205|3.324357051553512|13.800661730659026|12.796496885092242|14.781749354395998|0.3161490014093072|0.053246951132410174|-5.6212613983548705|-5.943896331746367|-5.30078557908895|0.6639910813823857|0.6178372352285396|0.579041248606466|0.23125835829932087|0.2896134598037854|0.2864547490426333,results/scene15_tmc_transfer/scene15_tmc_phase2.py,9e355bfb4899cd5f0284e5452aa9cfe72a27696100add70782a22a731f6b9e80,"five prespecified runs; 897 held-out records per run; 4,485 run--record evaluations","run, then paired held-out record within run","Fixed-output mechanism validation conditional on the selected runs and implementation; full-support ordering values are descriptive, and budget intervals do not qualify posterior, accuracy, or ordering contrasts."
C30,Sec. 5.2.3,"The primary admission boundary has lower decision cost than always withholding or always continuing at a ten-to-one wrong-admission cost ratio, whereas the two-component sensitivity crosses the always-withhold boundary.","ratio 10; primary 0.8704 [0.8644,0.8764]; always withhold 1.0000; always continue 6.3106 [6.3032,6.3176]; two-component sensitivity 1.6389 [1.6250,1.6527]",results/decision_cost/cost_ratio_sensitivity.csv,"wrong_to_nonadmission_ratio=10; policies A_unanimous_three_source, A_unanimous_two_component, always_withhold, and always_continue",028e69470a4ad8bb9c7ffd15d25595fa5ab4cb8a4e3e85eef508a6a9c120ecb1,"10,A_unanimous_three_source,0.8704166666666666,0.8643581730769231,0.8763798076923076|10,A_unanimous_two_component,1.6388782051282051,1.6249991987179486,1.6526610576923078|10,always_withhold,1.0,1.0,1.0|10,always_continue,6.310576923076923,6.3032051282051285,6.317628205128205",analysis/policy_cost_sensitivity.py,47030122941871bf38ab5e23c97174e44ab576e56b7c3fa362ff9c9ff2df00a1,"31,200 held-out decisions; 48 scenes",scene,"One cost is assigned to every non-release response; the comparison ranks admission boundaries rather than hold, confirm, and fallback utilities."
