id,event_id,episode_id,sid,task,window,condition,query_target_sid,candidate_admit,verified_admit,verified_decision,decision_reason,phase_probability,reference_admit
habit_cf_0033,004958_01,004958,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0034,004958_01,004958,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0035,004958_01,004958,S6759,Power Cable,ready,factual,S6759,True,True,release,supported_release,1.0,True
habit_cf_0036,004958_01,004958,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0037,004959_01,004959,S6759,Power Cable,early,factual,S6759,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0038,004959_01,004959,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0039,004959_01,004959,S6759,Power Cable,ready,factual,S6759,True,True,release,supported_release,1.0,True
habit_cf_0040,004959_01,004959,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0041,000124_01,000124,S7025,Organizing box,early,factual,S7025,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0042,000124_01,000124,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0043,000124_01,000124,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0044,000124_01,000124,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0045,000126_01,000126,S7025,Organizing box,early,factual,S7025,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0046,000126_01,000126,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0047,000126_01,000126,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0048,000126_01,000126,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0049,000128_01,000128,S7025,Organizing box,early,factual,S7025,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0050,000128_01,000128,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0051,000128_01,000128,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0052,000128_01,000128,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0053,000129_01,000129,S7025,Organizing box,early,factual,S7025,False,False,hold_confirm,candidate_not_ready,0.0,False
habit_cf_0054,000129_01,000129,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0055,000129_01,000129,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0056,000129_01,000129,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0057,000130_01,000130,S7025,Organizing box,early,factual,S7025,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0058,000130_01,000130,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0059,000130_01,000130,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0060,000130_01,000130,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0061,000131_01,000131,S7025,Organizing box,early,factual,S7025,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0062,000131_01,000131,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0063,000131_01,000131,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0064,000131_01,000131,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0065,000132_01,000132,S7025,Organizing box,early,factual,S7025,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0066,000132_01,000132,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0067,000132_01,000132,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0068,000132_01,000132,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0069,000133_01,000133,S7025,Organizing box,early,factual,S7025,False,False,hold_confirm,candidate_not_ready,0.0,False
habit_cf_0070,000133_01,000133,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0071,000133_01,000133,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0072,000133_01,000133,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0073,000135_01,000135,S7025,Organizing box,early,factual,S7025,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0074,000135_01,000135,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0075,000135_01,000135,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0076,000135_01,000135,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0077,000137_01,000137,S7025,Organizing box,early,factual,S7025,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0078,000137_01,000137,S7025,Organizing box,early,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0079,000137_01,000137,S7025,Organizing box,ready,factual,S7025,True,True,release,supported_release,1.0,True
habit_cf_0080,000137_01,000137,S7025,Organizing box,ready,counterfactual,S6759,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0081,002888_01,002888,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0082,002888_01,002888,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0083,002888_01,002888,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0084,002888_01,002888,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0085,002889_01,002889,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0086,002889_01,002889,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0087,002889_01,002889,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0088,002889_01,002889,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0089,002890_01,002890,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0090,002890_01,002890,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0091,002890_01,002890,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0092,002890_01,002890,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0093,002891_01,002891,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0094,002891_01,002891,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0095,002891_01,002891,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0096,002891_01,002891,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0097,002892_01,002892,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0098,002892_01,002892,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0099,002892_01,002892,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0100,002892_01,002892,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0101,002894_01,002894,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0102,002894_01,002894,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0103,002894_01,002894,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0104,002894_01,002894,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0105,002895_01,002895,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0106,002895_01,002895,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0107,002895_01,002895,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0108,002895_01,002895,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0109,002896_01,002896,S7414,Paper to-go box,early,factual,S7414,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0110,002896_01,002896,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0111,002896_01,002896,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0112,002896_01,002896,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0113,002898_01,002898,S7414,Paper to-go box,early,factual,S7414,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0114,002898_01,002898,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0115,002898_01,002898,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0116,002898_01,002898,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0117,002899_01,002899,S7414,Paper to-go box,early,factual,S7414,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0118,002899_01,002899,S7414,Paper to-go box,early,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0119,002899_01,002899,S7414,Paper to-go box,ready,factual,S7414,True,True,release,supported_release,1.0,True
habit_cf_0120,002899_01,002899,S7414,Paper to-go box,ready,counterfactual,S8975,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0121,008354_01,008354,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0122,008354_01,008354,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0123,008354_01,008354,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0124,008354_01,008354,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0125,008364_01,008364,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0126,008364_01,008364,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0127,008364_01,008364,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0128,008364_01,008364,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0129,008372_02,008372,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0130,008372_02,008372,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0131,008372_02,008372,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0132,008372_02,008372,S7788,iced cup,ready,counterfactual,S8940,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0133,008462_01,008462,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0134,008462_01,008462,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0135,008462_01,008462,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0136,008462_01,008462,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0137,008475_01,008475,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0138,008475_01,008475,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0139,008475_01,008475,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0140,008475_01,008475,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0141,008495_02,008495,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0142,008495_02,008495,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0143,008495_02,008495,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0144,008495_02,008495,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0145,008524_02,008524,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0146,008524_02,008524,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0147,008524_02,008524,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0148,008524_02,008524,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0149,009796_02,009796,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0150,009796_02,009796,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0151,009796_02,009796,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0152,009796_02,009796,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0153,009797_02,009797,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0154,009797_02,009797,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0155,009797_02,009797,S7788,iced cup,ready,factual,S7788,True,True,release,supported_release,1.0,True
habit_cf_0156,009797_02,009797,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0157,009801_02,009801,S7788,iced cup,early,factual,S7788,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0158,009801_02,009801,S7788,iced cup,early,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0159,009801_02,009801,S7788,iced cup,ready,factual,S7788,False,False,hold_confirm,candidate_not_ready,0.0,True
habit_cf_0160,009801_02,009801,S7788,iced cup,ready,counterfactual,S8940,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0161,007309_01,007309,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0162,007309_01,007309,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0163,007309_01,007309,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0164,007309_01,007309,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0165,007310_01,007310,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0166,007310_01,007310,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0167,007310_01,007310,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0168,007310_01,007310,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0169,007312_01,007312,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0170,007312_01,007312,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0171,007312_01,007312,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0172,007312_01,007312,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0173,007313_01,007313,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0174,007313_01,007313,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0175,007313_01,007313,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0176,007313_01,007313,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0177,007314_01,007314,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0178,007314_01,007314,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0179,007314_01,007314,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0180,007314_01,007314,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0181,007315_01,007315,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0182,007315_01,007315,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0183,007315_01,007315,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0184,007315_01,007315,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0185,007316_01,007316,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0186,007316_01,007316,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0187,007316_01,007316,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0188,007316_01,007316,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0189,007317_01,007317,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0190,007317_01,007317,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0191,007317_01,007317,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0192,007317_01,007317,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0193,007321_01,007321,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0194,007321_01,007321,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0195,007321_01,007321,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0196,007321_01,007321,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0197,007322_01,007322,S8940,Airtight Container lid,early,factual,S8940,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0198,007322_01,007322,S8940,Airtight Container lid,early,counterfactual,S7025,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0199,007322_01,007322,S8940,Airtight Container lid,ready,factual,S8940,True,True,release,supported_release,1.0,True
habit_cf_0200,007322_01,007322,S8940,Airtight Container lid,ready,counterfactual,S7025,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0201,005687_01,005687,S8975,100 cm Hotel Towel,early,factual,S8975,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0202,005687_01,005687,S8975,100 cm Hotel Towel,early,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0203,005687_01,005687,S8975,100 cm Hotel Towel,ready,factual,S8975,True,True,release,supported_release,1.0,True
habit_cf_0204,005687_01,005687,S8975,100 cm Hotel Towel,ready,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0205,005688_01,005688,S8975,100 cm Hotel Towel,early,factual,S8975,False,False,hold_confirm,candidate_not_ready,0.0,False
habit_cf_0206,005688_01,005688,S8975,100 cm Hotel Towel,early,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0207,005688_01,005688,S8975,100 cm Hotel Towel,ready,factual,S8975,False,False,hold_confirm,candidate_not_ready,1.0,True
habit_cf_0208,005688_01,005688,S8975,100 cm Hotel Towel,ready,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0209,005691_01,005691,S8975,100 cm Hotel Towel,early,factual,S8975,False,False,hold_confirm,candidate_not_ready,0.0,False
habit_cf_0210,005691_01,005691,S8975,100 cm Hotel Towel,early,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0211,005691_01,005691,S8975,100 cm Hotel Towel,ready,factual,S8975,True,True,release,supported_release,1.0,True
habit_cf_0212,005691_01,005691,S8975,100 cm Hotel Towel,ready,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0213,005692_01,005692,S8975,100 cm Hotel Towel,early,factual,S8975,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0214,005692_01,005692,S8975,100 cm Hotel Towel,early,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0215,005692_01,005692,S8975,100 cm Hotel Towel,ready,factual,S8975,True,True,release,supported_release,1.0,True
habit_cf_0216,005692_01,005692,S8975,100 cm Hotel Towel,ready,counterfactual,S7788,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0217,005693_01,005693,S8975,100 cm Hotel Towel,early,factual,S8975,False,False,hold_confirm,candidate_not_ready,0.0,False
